[Gene ID]	[source_id]	[Product Description]	[Curated GO Functions]	[Computed GO Functions]	[Evidence Code]	[Computed GO Function IDs]	[Curated GO Function IDs]	[Computed GO Component IDs]	[Computed GO Components]	[Computed GO Process IDs]	[Computed GO Processes]	[Curated GO Component IDs]	[Curated GO Components]	[Curated GO Process IDs]	[Curated GO Processes]	
Tb08.27P2.210	Tb08.27P2.210:pseudogenic_transcript	variant surface glycoprotein, degenerate	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb08.27P2.220	Tb08.27P2.220:mRNA	variant surface glycoprotein (VSG, atypical), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb08.27P2.260	Tb08.27P2.260:mRNA	variant surface glycoprotein (VSG, atypical), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb08.27P2.340	Tb08.27P2.340:pseudogenic_transcript	variant surface glycoprotein, degenerate	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb08.27P2.370	Tb08.27P2.370:pseudogenic_transcript	variant surface glycoprotein, degenerate	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb08.27P2.380	Tb08.27P2.380:pseudogenic_transcript	variant surface glycoprotein, degenerate	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb08.27P2.490	Tb08.27P2.490:pseudogenic_transcript	variant surface glycoprotein, degenerate	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb08.27P2.610	Tb08.27P2.610:pseudogenic_transcript	variant surface glycoprotein, degenerate	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb08.27P2.620	Tb08.27P2.620:pseudogenic_transcript	variant surface glycoprotein, degenerate	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0009	Tb09.v4.0009:mRNA	receptor-type adenylate cyclase, putative	N/A	phosphorus-oxygen lyase activity	IEA	GO:0016849	N/A	N/A	N/A	GO:0009190, GO:0035556	cyclic nucleotide biosynthetic process, intracellular signal transduction	N/A	N/A	N/A	N/A	
Tb09.v4.0010	Tb09.v4.0010:mRNA	variant surface glycoprotein (VSG), pseudogene	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0016	Tb09.v4.0016:mRNA	expression site- associated gene (ESAG) protein, putative	N/A	lipid binding	IEA	GO:0008289	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb09.v4.0017	Tb09.v4.0017:mRNA	rab1 (small gtp-binding protein rab1, putative)	N/A	GTP binding, GTPase activity	IEA	GO:0005525, GO:0003924	N/A	GO:0005622, GO:0016020	intracellular, membrane	GO:0006886, GO:0006913, GO:0006184, GO:0007264	intracellular protein transport, nucleocytoplasmic transport, obsolete GTP catabolic process, small GTPase mediated signal transduction	N/A	N/A	N/A	N/A	
Tb09.v4.0018	Tb09.v4.0018:mRNA	expression site-associated gene 3 (ESAG3) protein, putative	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	
Tb09.v4.0029	Tb09.v4.0029:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0039	Tb09.v4.0039:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0040	Tb09.v4.0040:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0043	Tb09.v4.0043:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0050	Tb09.v4.0050:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0051	Tb09.v4.0051:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0052	Tb09.v4.0052:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0054	Tb09.v4.0054:pseudogenic_transcript	variant surface glycoprotein, fragment	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0057	Tb09.v4.0057:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0074	Tb09.v4.0074:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0080	Tb09.v4.0080:mRNA	hypothetical protein, conserved	N/A	galactosyltransferase activity	IEA	GO:0008378	N/A	GO:0016020	membrane	GO:0006486	protein glycosylation	N/A	N/A	N/A	N/A	
Tb09.v4.0085	Tb09.v4.0085:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0094	Tb09.v4.0094:pseudogenic_transcript	variant surface glycoprotein, fragment	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0103	Tb09.v4.0103:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0105	Tb09.v4.0105:mRNA	hypothetical protein	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb09.v4.0106	Tb09.v4.0106:mRNA	nucleoside transporter 1, putative	N/A	nucleoside transmembrane transporter activity	IEA	GO:0005337	N/A	GO:0016021	integral component of membrane	GO:0006810	transport	N/A	N/A	N/A	N/A	
Tb09.v4.0107	Tb09.v4.0107:mRNA	expression site-associated gene 5 (ESAG5) protein, putative	N/A	lipid binding	IEA	GO:0008289	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb09.v4.0108	Tb09.v4.0108:pseudogenic_transcript	expression site-associated gene 8 (ESAG8), pseudogene	N/A	protein binding, zinc ion binding	IEA	GO:0005515, GO:0008270	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb09.v4.0111	Tb09.v4.0111:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0126	Tb09.v4.0126:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0133	Tb09.v4.0133:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0136	Tb09.v4.0136:mRNA	variant surface glycoprotein (VSG, atypical), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0138	Tb09.v4.0138:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0142	Tb09.v4.0142:mRNA	variant surface glycoprotein	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0161	Tb09.v4.0161:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0175	Tb09.v4.0175:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0176	Tb09.v4.0176:pseudogenic_transcript	variant surface glycoprotein, fragment	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0177	Tb09.v4.0177:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0178	Tb09.v4.0178:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0184	Tb09.v4.0184:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0189	Tb09.v4.0189:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0194	Tb09.v4.0194:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0196	Tb09.v4.0196:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0197	Tb09.v4.0197:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0202	Tb09.v4.0202:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0203	Tb09.v4.0203:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb09.v4.0204	Tb09.v4.0204:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0033	Tb10.v4.0033:mRNA	pumillo RNA binding protein PUF1	N/A	RNA binding	IEA	GO:0003723	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb10.v4.0034	Tb10.v4.0034:mRNA	SAP domain containing protein, putative	N/A	nucleic acid binding	IEA	GO:0003676	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb10.v4.0035	Tb10.v4.0035:mRNA	stress-inducible protein STI1-like, putative	N/A	protein binding	IEA	GO:0005515	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb10.v4.0036	Tb10.v4.0036:mRNA	leucine carboxyl methyltransferase, putative	N/A	methyltransferase activity	IEA	GO:0008168	N/A	N/A	N/A	GO:0032259	methylation	N/A	N/A	N/A	N/A	
Tb10.v4.0037	Tb10.v4.0037:mRNA	hypothetical protein, conserved	N/A	binding	IEA	GO:0005488	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Tb10.v4.0038	Tb10.v4.0038:mRNA	chrX additional, unordered contigs	N/A	DNA-directed DNA polymerase activity, damaged DNA binding	IEA	GO:0003887, GO:0003684	N/A	N/A	N/A	GO:0006281	DNA repair	N/A	N/A	N/A	N/A	
Tb10.v4.0043	Tb10.v4.0043:mRNA	chrX additional, unordered contigs	N/A	catalytic activity	IEA	GO:0003824	N/A	N/A	N/A	GO:0008152	metabolic process	N/A	N/A	N/A	N/A	
Tb10.v4.0045	Tb10.v4.0045:mRNA	prohibitin, putative	N/A	N/A	RCA	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005743	mitochondrial inner membrane	N/A	N/A	
Tb10.v4.0046	Tb10.v4.0046:mRNA	transporter, putative	N/A	cation transmembrane transporter activity	IEA	GO:0008324	N/A	N/A	N/A	GO:0006812, GO:0055085	cation transport, transmembrane transport	N/A	N/A	N/A	N/A	
Tb10.v4.0053	Tb10.v4.0053:mRNA	hypothetical protein	N/A	N/A	EXP	N/A	N/A	N/A	N/A	N/A	N/A	GO:0036064	ciliary basal body	N/A	N/A	
Tb10.v4.0064	Tb10.v4.0064:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative /product	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0077	Tb10.v4.0077:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0081	Tb10.v4.0081:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0088	Tb10.v4.0088:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0092	Tb10.v4.0092:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0094	Tb10.v4.0094:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative /product	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0096	Tb10.v4.0096:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0097	Tb10.v4.0097:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative /product	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0098	Tb10.v4.0098:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative /product	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0102	Tb10.v4.0102:pseudogenic_transcript	variant surface glycoprotein (VSG), pseudogene	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0104	Tb10.v4.0104:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative /product	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0116	Tb10.v4.0116:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0120	Tb10.v4.0120:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0121	Tb10.v4.0121:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0124	Tb10.v4.0124:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0133	Tb10.v4.0133:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative /product	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0134	Tb10.v4.0134:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0140	Tb10.v4.0140:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0150	Tb10.v4.0150:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0154	Tb10.v4.0154:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0159	Tb10.v4.0159:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0161	Tb10.v4.0161:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0163	Tb10.v4.0163:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0164	Tb10.v4.0164:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0169	Tb10.v4.0169:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0171	Tb10.v4.0171:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0185	Tb10.v4.0185:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0186	Tb10.v4.0186:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0192	Tb10.v4.0192:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0206	Tb10.v4.0206:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0207	Tb10.v4.0207:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0209	Tb10.v4.0209:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0211	Tb10.v4.0211:mRNA	variant surface glycoprotein (VSG), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0212	Tb10.v4.0212:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
Tb10.v4.0229	Tb10.v4.0229:pseudogenic_transcript	variant surface glycoprotein (VSG, pseudogene), putative	N/A	N/A	IEA	N/A	N/A	N/A	N/A	GO:0020012	evasion or tolerance of host immune response	N/A	N/A	N/A	N/A	
